标签名,标签ID,描述,单位,类型
N1DCS.EALM019,23170,生产办公楼A变6kV侧开关异常跳闸,,digital
N1DCS.EALM020,23171,机组公用A变6kV侧开关异常跳闸,,digital
N1DCS.EALM021,23172,厂区公用A变6kV侧开关异常跳闸,,digital
N1DCS.EALM022,23173,补给水A变6kV侧开关异常跳闸,,digital
N1DCS.EALM023,23174,进气冷却A变6kV侧开关异常跳闸,,digital
N1DCS.EALM024,23175,#1机组保安段备自投装置故障,,digital
N1DCS.EALM025,23176,#1机组保安段母线异常,,digital
N1DCS.EALM026,23177,柴油发电机异常,,digital
N1DCS.EALM027,23178,110V直流母线电压低,,digital
N1DCS.EALM028,23179,110V直流蓄电池故障,,digital
N1DCS.EALM029,23180,220V直流母线电压低,,digital
N1DCS.EALM030,23181,220V直流蓄电池故障,,digital
N1DCS.EALM031,23182,UPS主控柜故障,,digital
N1DCS.EALM032,23183,发电机漏水,,digital
N1DCS.EALM32,23184,发电机漏水,,digital
N1DCS.EALMALL,23185,#1机电气光字牌报警汇总1,,digital
N1DCS.EALMUNACK,23186,#1机电气光字牌报警手动确认指令,,digital
N1DCS.LCALARM,23187,#1机励磁故障总信号,,digital
N1DCS.ON10,23188,开关量1,,digital
N1DCS.QJBW_SEQSTACKOK,23189,#1机并网前各刀闸在正确位置,,digital
N1DCS.QJBW_SEQSTFINISH,23190,#1机并网顺控控已完成,,digital
N1DCS.QJTQYX1,23191,#1机并网允许条件,,digital
N1DCS.ZERO10,23192,开关量0,,digital
N1DCS.10BBA00EH201,23193,6KV IA段备用分支PT异常,,digital
N1DCS.10BBA00EH202,23194,6KV IA段备用分支PT保护小车位置,,digital
N1DCS.10BBA00GS002PF,23195,6KV开关61A02保护装置异常总信号,,digital
N1DCS.10BBA00GS002RC,23196,6KV IA段备用进线开关远方控制,,digital
N1DCS.10BBA00GS002RD,23197,6KV IA段备用电源进线开关合闸,,digital
N1DCS.10BBA00GS002RP,23198,6KV IA段备用进线开关合闸位置,,digital
N1DCS.10BBA00GS002SW,23199,6KV IA段备用进线开关试验位置,,digital
N1DCS.10BBA00GS002TD,23200,6KV IA段备用电源进线开关分闸,,digital
N1DCS.10BBA00GS002TP,23201,6KV IA段备用进线开关分闸位置,,digital
N1DCS.10BBA00GS002YW,23202,6KV IA段备用进线开关工作位置,,digital
N1DCS.10BBB00EH001,23203,6KV IB段母线PT保护装置故障,,digital
N1DCS.10BBB00EH002,23204,6KV IB段母线过压报警,,digital
N1DCS.10BBB00EH003,23205,6KV IB段母线低压报警,,digital
N1DCS.10BBB00EH004,23206,6KV IB段母线失压报警,,digital
N1DCS.10BBB00EH005,23207,6KV IB段母线接地报警,,digital
N1DCS.10BBB00EH006,23208,6KV IB段母线谐振报警,,digital
N1DCS.10BBB00EH101,23209,6kV IB段工作分支PT异常,,digital
N1DCS.10BBB00EH102,23210,6kV IB段工作分支PT保护小车位置,,digital
N1DCS.10BBB00GS001PF,23211,6KV开关61B01保护装置异常总信号,,digital
N1DCS.10BBB00GS001PF1,23212,6KV开关61B01弧光保护装置故障,,digital
N1DCS.10BBB00GS001PS1,23213,6KV开关61B01弧光保护动作,,digital
N1DCS.10BBB00GS001RC,23214,6KV IB段工作进线开关远方控制,,digital
N1DCS.10BBB00GS001RD,23215,6KV IB段工作电源进线开关合闸,,digital
N1DCS.10BBB00GS001RP,23216,6KV IB段工作进线开关合闸位置,,digital
N1DCS.10BBB00GS001SW,23217,6KV IB段工作进线开关试验位置,,digital
N1DCS.10BBB00GS001TD,23218,6KV IB段工作电源进线开关分闸,,digital
N1DCS.10BBB00GS001TP,23219,6KV IB段工作进线开关分闸位置,,digital
N1DCS.10BBB00GS001YW,23220,6KV IB段工作进线开关工作位置,,digital
N1DCS.10BBT01_DPMT,23221,#1高厂变有载调压降压允许,,digital
N1DCS.10BBT01_UPMT,23222,#1高厂变有载调压升压允许,,digital
N1DCS.10BBT01EH901,23223,高厂变有载调压开关分接头位置1,,digital
N1DCS.10BBT01EH902,23224,高厂变有载调压开关分接头位置2,,digital
N1DCS.10BBT01EH903,23225,高厂变有载调压开关分接头位置3,,digital
N1DCS.10BBT01EH904,23226,高厂变有载调压开关分接头位置4,,digital
N1DCS.10BBT01EH905,23227,高厂变有载调压开关分接头位置5,,digital
N1DCS.10BBT01EH906,23228,高厂变有载调压开关分接头位置6,,digital
N1DCS.10BBT01EH907,23229,高厂变有载调压开关分接头位置7,,digital
N1DCS.10BBT01EH908,23230,高厂变有载调压开关分接头位置8,,digital
N1DCS.10BBT01EH909A,23231,高厂变有载调压开关分接头位置9A,,digital
N1DCS.10BBT01EH909B,23232,高厂变有载调压开关分接头位置9B,,digital
N1DCS.10BBT01EH909C,23233,高厂变有载调压开关分接头位置9C,,digital
N1DCS.10BBT01EH910,23234,高厂变有载调压开关分接头位置10,,digital
N1DCS.10BBT01EH911,23235,高厂变有载调压开关分接头位置11,,digital
N1DCS.10BBT01EH912,23236,高厂变有载调压开关分接头位置12,,digital
N1DCS.10BBT01EH913,23237,高厂变有载调压开关分接头位置13,,digital
N1DCS.10BBT01EH914,23238,高厂变有载调压开关分接头位置14,,digital
N1DCS.10BBT01EH915,23239,高厂变有载调压开关分接头位置15,,digital
N1DCS.10BBT01EH916,23240,高厂变有载调压开关分接头位置16,,digital
N1DCS.10BBT01EH917,23241,高厂变有载调压开关分接头位置17,,digital
N1DCS.10BBT01GS001PF,23242,#1高厂变有载调压故障,,digital
N1DCS.10BBT01GS001PS,23243,#1高厂变有载调压切换操作未完成,,digital
N1DCS.10BBT01GS001RC,23244,#1高厂变有载调压远方控制,,digital
N1DCS.10BBT01GS001RD1,23245,#1高厂变有载调压开关升压,,digital
N1DCS.10BBT01GS001RD2,23246,#1高厂变有载调压开关降压,,digital
N1DCS.10BBT01GS001RP,23247,#1高厂变有载调压开关正在调压,,digital
N1DCS.10BBT01GS001TD,23248,#1高厂变有载调压开关停止调压,,digital
N1DCS.10BFB00EH201,23249,380V机组工作PC IB段母线电压低,,digital
N1DCS.10BFB00EH202,23250,380V工作PC IB段PT保护装置故障,,digital
N1DCS.10BFB00EH203,23251,380V工作PC IB段PT刀熔开关分位,,digital
N1DCS.10BFB00GS201PF,23252,工作PC IB至保安段开关综合故障,,digital
N1DCS.10BFB00GS201RC,23253,工作PC IB至保安段开关在远控,,digital
N1DCS.10BFB00GS201RD,23254,工作PC IB至保安段开关合闸指令,,digital
N1DCS.10BFB00GS201RP,23255,工作PC IB至保安段开关合闸位置,,digital
N1DCS.10BFB00GS201TD,23256,工作PC IB至保安段开关分闸指令,,digital
N1DCS.10BFB00GS201TP,23257,工作PC IB至保安段开关分闸位置,,digital
N1DCS.10BFT20GS101PF,23258,6KV开关61B10保护装置异常总信号,,digital
N1DCS.10BFT20GS101PS,23259,工作IB变6kV侧开关保护动作,,digital
N1DCS.10BFT20GS101RC,23260,工作IB变6kV侧开关远方控制,,digital
N1DCS.10BFT20GS101RD,23261,工作IB变6kV侧开关合闸指令,,digital
N1DCS.10BFT20GS101RP,23262,工作IB变6kV侧开关合闸位置,,digital
N1DCS.10BFT20GS101SW,23263,工作IB变6kV侧开关试验位置,,digital
N1DCS.10BFT20GS101TD,23264,工作IB变6kV侧开关分闸指令,,digital
N1DCS.10BFT20GS101TP,23265,工作IB变6kV侧开关分闸位置,,digital
N1DCS.10BFT20GS101YW,23266,工作IB变6kV侧开关工作位置,,digital
N1DCS.10BFT20GS102PF,23267,工作IB变380V侧开关综合故障,,digital
N1DCS.10BFT20GS102RC,23268,工作IB变380V侧开关远方控制,,digital
N1DCS.10BFT20GS102RD,23269,工作IB变380V侧开关合闸指令,,digital
N1DCS.10BFT20GS102RP,23270,工作IB变380V侧开关合闸位置,,digital
N1DCS.10BFT20GS102TD,23271,工作IB变380V侧开关分闸指令,,digital
N1DCS.10BFT20GS102TP,23272,工作IB变380V侧开关分闸位置,,digital
N1DCS.10BJA00GS202RP,23273,工作PCIB至#1机MCCA开关合闸位置,,digital
N1DCS.10BJA00GS202TP,23274,工作PCIB至#1机MCCA开关分闸位置,,digital
N1DCS.10BJB00GS202RP,23275,工作PCIB至#1机MCCB开关合闸位置,,digital
N1DCS.10BJB00GS202TP,23276,工作PCIB至#1机MCCB开关分闸位置,,digital
N1DCS.10BJC00GS202RP,23277,工作PC IB至余炉MCC开关合闸位置,,digital
N1DCS.10BJC00GS202TP,23278,工作PC IB至余炉MCC开关分闸位置,,digital
N1DCS.10BJD00GS202PF,23279,工作PCIB至#2机MCCA开关综合故障,,digital
N1DCS.10BJD00GS202RC,23280,工作PCIB至#2机MCCA开关远方控制,,digital
N1DCS.10BJD00GS202RD,23281,工作PC IB至#2机MCC A开关合指令,,digital
N1DCS.10BJD00GS202RP,23282,工作PCIB至#2机MCCA开关合闸位置,,digital
N1DCS.10BJD00GS202TD,23283,工作PC IB至#2机MCC A开关分指令,,digital
N1DCS.10BJD00GS202TP,23284,工作PCIB至#2机MCCA开关分闸位置,,digital
N1DCS.10BJE00GS202PF,23285,工作PCIB至#2机MCCB开关综合故障,,digital
N1DCS.10BJE00GS202RC,23286,工作PCIB至#2机MCCB开关远方控制,,digital
N1DCS.10BJE00GS202RD,23287,工作PCIB至#2机MCC B开关合指令,,digital
N1DCS.10BJE00GS202RP,23288,工作PCIB至#2机MCCB开关合闸位置,,digital
N1DCS.10BJE00GS202TD,23289,工作PCIB至#2机MCC B开关分指令,,digital
N1DCS.10BJE00GS202TP,23290,工作PCIB至#2机MCCB开关分闸位置,,digital
N1DCS.10BMA00EH201,23291,380V保安段母线电压低,,digital
N1DCS.10BMA00EH202,23292,380V保安段PT保护装置故障,,digital
N1DCS.10BMA00GS001_PUT,23293,保安段备自投装置已投入,,digital
N1DCS.10BMA00GS001PF,23294,保安段柴油机进线K11开关故障,,digital
N1DCS.10BMA00GS001RC,23295,保安段柴油机进线K11开关在远控,,digital
N1DCS.10BMA00GS001RD,23296,保安段柴油机进线K11开关合闸令,,digital
N1DCS.10BMA00GS001RP,23297,保安段柴油机进线K11开关合闸位,,digital
N1DCS.10BMA00GS001TD,23298,保安段柴油机进线K11开关分闸令,,digital
N1DCS.10BMA00GS001TP,23299,保安段柴油机进线K11开关分闸位,,digital
N1DCS.10BMA00GS002_PUT,23300,保安段备自投装置已投入,,digital
N1DCS.10BMA00GS002PF,23301,保安段工作进线K12开关综合故障,,digital
N1DCS.10BMA00GS002RC,23302,保安段工作进线K12开关远方控制,,digital
N1DCS.10BMA00GS002RD,23303,保安段工作进线K12开关合闸指令,,digital
N1DCS.10BMA00GS002RP,23304,保安段工作进线K12开关合闸位置,,digital
N1DCS.10BMA00GS002TD,23305,保安段工作进线K12开关分闸指令,,digital
N1DCS.10BMA00GS002TP,23306,保安段工作进线K12开关分闸位置,,digital
N1DCS.10BMA00GS003_PUT,23307,保安段备自投装置已投入,,digital
N1DCS.10BMA00GS003PF,23308,保安段工作进线K13开关综合故障,,digital
N1DCS.10BMA00GS003RC,23309,保安段工作进线K13开关远方控制,,digital
N1DCS.10BMA00GS003RD,23310,保安段工作进线K13开关合闸指令,,digital
N1DCS.10BMA00GS003RP,23311,保安段工作进线K13开关合闸位置,,digital
N1DCS.10BMA00GS003TD,23312,保安段工作进线K13开关分闸指令,,digital
N1DCS.10BMA00GS003TP,23313,保安段工作进线K13开关分闸位置,,digital
N1DCS.10BNA00GS202PF,23314,工作PCIB至#2机EMCC开关综合故障,,digital
N1DCS.10BNA00GS202RC,23315,工作PCIB至#2机EMCC开关远方控制,,digital
N1DCS.10BNA00GS202RD,23316,工作PCIB至#2机EMCC开关合闸指令,,digital
N1DCS.10BNA00GS202RP,23317,工作PCIB至#2机EMCC开关合闸位置,,digital
N1DCS.10BNA00GS202TD,23318,工作PCIB至#2机EMCC开关分闸指令,,digital
N1DCS.10BNA00GS202TP,23319,工作PCIB至#2机EMCC开关分闸位置,,digital
N1DCS.10BRU01EH001,23320,#1机组UPS系统主机柜1综合报警,,digital
N1DCS.10BRU01EH003,23321,#1机组UPS系统主机柜2综合报警,,digital
N1DCS.10BRU02EH002,23322,#1机组UPS系统配电开关报警,,digital
N1DCS.10BTB01EH001,23323,#1机110V直流#1电池组熔断,,digital
N1DCS.10BTB02EH001,23324,#1机110V直流#2电池组熔断,,digital
N1DCS.10BTL01EH001,23325,#1机220V直流系统交流电源告警,,digital
N1DCS.10BTL01EH002,23326,#1机220V直流系统整流模块告警,,digital
N1DCS.10BTL01EH003,23327,#1机220V直流系统蓄电池组告警,,digital
N1DCS.10BTL01EH004,23328,#1机220V直流系统直流母线告警,,digital
N1DCS.10BTL01EH005,23329,#1机220V直流系统直流配电告警,,digital
N1DCS.10BTL01EH006,23330,#1机220V直流系统通信中断告警,,digital
N1DCS.10BTL01EH007,23331,#1机220V直流系统微机监控故障,,digital
N1DCS.10BTL01EH008,23332,#1机220V直流联络开关合闸报警,,digital
N1DCS.10BTM01EH001,23333,#1机110V直流A段交流电源告警,,digital
N1DCS.10BTM01EH002,23334,#1机110V直流A段整流模块告警,,digital
N1DCS.10BTM01EH003,23335,#1机110V直流#1蓄电池组告警,,digital
N1DCS.10BTM01EH004,23336,#1机110V直流A段直流母线告警,,digital
N1DCS.10BTM01EH005,23337,#1机110V直流A段直流配电告警,,digital
N1DCS.10BTM01EH006,23338,#1机110V直流A段通信中断告警,,digital
N1DCS.10BTM01EH007,23339,#1机110V直流A段微机监控故障,,digital
N1DCS.10BTM02EH001,23340,#1机110V直流B段交流电源告警,,digital
N1DCS.10BTM02EH002,23341,#1机110V直流B段整流模块告警,,digital
N1DCS.10BTM02EH003,23342,#1机110V直流#2蓄电池组告警,,digital
N1DCS.10BTM02EH004,23343,#1机110V直流B段直流母线告警,,digital
N1DCS.10BTM02EH005,23344,#1机110V直流B段直流配电告警,,digital
N1DCS.10BTM02EH006,23345,#1机110V直流B段通信中断告警,,digital
N1DCS.10BTM02EH007,23346,#1机110V直流B段微机监控故障,,digital
N1DCS.10CBQ01EH2_FL,23347,6kV IB段快切装置故障,,digital
N1DCS.10CBQ01EH201,23348,6kV IB段快切装置启动正常切换,,digital
N1DCS.10CBQ01EH202,23349,6kV IB段快切装置手动闭锁,,digital
N1DCS.10CBQ01EH203,23350,6kV IB段快切装置远方复归,,digital
N1DCS.10CBQ01EH204,23351,6kV IB段快切装置合工作,,digital
N1DCS.10CBQ01EH205,23352,6kV IB段快切装置合备用,,digital
N1DCS.10CBQ01EH206,23353,6kV IB段快切装置总告警,,digital
N1DCS.10CBQ01EH207,23354,6kV IB段快切装置切换完毕,,digital
N1DCS.10CBQ01EH208,23355,6kV IB段快切装置电源失压,,digital
N1DCS.10CBQ01EH209,23356,6kV IB段快切装置切换失败,,digital
N1DCS.10CBQ01EH210,23357,6kV IB段快切装置切换闭锁,,digital
N1DCS.10CBQ01EH211,23358,6kV IB段快切装置自动允许,,digital
N1DCS.10CBQ01EH212,23359,6kV IB段快切装置手动允许,,digital
N1DCS.10CBQ01EH213,23360,6kV IB段快切装置单操,,digital
N1DCS.10CBQ02EH101,23361,#1机保安段备自投远方手动切换,,digital
N1DCS.10CBQ02EH102,23362,#1机保安段备自投信号复归,,digital
N1DCS.10CBQ02EH103,23363,#1机保安段备自投远方闭锁,,digital
N1DCS.10CBQ02EH104,23364,#1机保安段备自投动作,,digital
N1DCS.10CBQ02EH105,23365,#1机保安段备自投装置故障报警,,digital
N1DCS.10CBQ02EH106,23366,#1机保安段备自投装置已闭锁,,digital
N1DCS.10CBQ02EH107,23367,#1机保安段备自投装置失电告警,,digital
N1DCS.10MJA01EH001,23368,#1机柴油发电机水温故障,,digital
N1DCS.10MJA01EH002,23369,#1机柴油发电机低油压故障,,digital
N1DCS.10MJA01EH003,23370,#1机柴油发电机超速故障,,digital
N1DCS.10MJA01EH004,23371,#1机柴油发电机三次启动失败,,digital
N1DCS.10MJA01EH005,23372,#1机柴油发电机运行正常,,digital
N1DCS.10MJA01EH006,23373,#1机柴油发电机系统处于自动,,digital
N1DCS.10MJA01EH007,23374,#1机柴油发电机蓄电池电压低报警,,digital
N1DCS.10MJA01EH008,23375,#1机柴油发电机公共预报警,,digital
N1DCS.10MJA01EH009,23376,#1机柴油发电机公共报警,,digital
N1DCS.10MJA01EH010,23377,#1机柴油发电机差动保护,,digital
N1DCS.10MJA01EH011,23378,#1机柴油发电机DC 24V电源丢失,,digital
N1DCS.10MJA01EH012,23379,#1机柴油发电机DC 110V电源丢失,,digital
N1DCS.10MJA01GS001RP,23380,#1机柴油发电机K0开关合闸状态,,digital
N1DCS.10MJA01GS001TP,23381,#1机柴油发电机K0开关分闸状态,,digital
N1DCS.11BAC01GS101RP,23382,#2发电机出口GCB开关合闸位置,,digital
N1DCS.11BAC01GS101TP,23383,#2发电机出口GCB开关分闸位置,,digital
N1DCS.11BAC01GS201RP,23384,#2发电机出口隔离开关8020合位置,,digital
N1DCS.11BAC01GS201TP,23385,#2发电机出口隔离开关8020分位置,,digital
N1DCS.11BAC01GS202RP,23386,#2发电机SFC启动开关8021合位置,,digital
N1DCS.11BAC01GS202TP,23387,#2发电机SFC启动开关8021分位置,,digital
N1DCS.11BAC01GS301RP,23388,#2发电机出口接地开关GS301合位,,digital
N1DCS.11BAC01GS301TP,23389,#2发电机出口接地开关82000分位,,digital
N1DCS.11BAC01GS302RP,23390,#2发电机出口接地开关GS303合位,,digital
N1DCS.11BAC01GS302TP,23391,#2发电机出口接地开关GS303分位,,digital
N1DCS.11BAT01EH001,23392,#2主变冷却器Ⅰ段电源运行,,digital
N1DCS.11BAT01EH002,23393,#2主变冷却器II段电源运行,,digital
N1DCS.11BAT01EH003,23394,#2主变冷却器Ⅰ段电源故障,,digital
N1DCS.11BAT01EH004,23395,#2主变冷却器II段电源故障,,digital
N1DCS.11BAT01EH005,23396,#2主变冷却器控制电源故障,,digital
N1DCS.11BAT01EH006,23397,#2主变工作冷却器故障,,digital
N1DCS.11BAT01EH007,23398,#2主变备用冷却器故障,,digital
N1DCS.11BAT01EH008,23399,#2主变风冷全停,,digital
N1DCS.11BAT01EH009,23400,#2主变辅助投入,,digital
N1DCS.11BAW10GS201RP,23401,#2发电机中性点地刀82000合闸位,,digital
N1DCS.11BAW10GS201TP,23402,#2发电机中性点地刀82000分闸位,,digital
N1DCS.11CEQ01EH001,23403,#2发变组故障录波装置故障,,digital
N1DCS.11CEQ01EH002,23404,#2发变组故障录波装置启动,,digital
N1DCS.11CEQ01EH003,23405,#2发变组故障录波装置失电报警,,digital
N1DCS.11CHA01EH101,23406,#2发电机A套差动跳闸,,digital
N1DCS.11CHA01EH102,23407,#2发电机A套定子接地跳闸,,digital
N1DCS.11CHA01EH103,23408,#2发电机A套匝间跳闸,,digital
N1DCS.11CHA01EH104,23409,#2发电机A套过负荷跳闸,,digital
N1DCS.11CHA01EH105,23410,#2发电机A套电压异常保护跳闸,,digital
N1DCS.11CHA01EH106,23411,#2发电机A套失磁保护跳闸,,digital
N1DCS.11CHA01EH107,23412,#2发电机A套失步保护跳闸,,digital
N1DCS.11CHA01EH108,23413,#2发电机A套负序过负荷跳闸,,digital
N1DCS.11CHA01EH109,23414,#2发电机A套过励磁跳闸,,digital
N1DCS.11CHA01EH110,23415,#2发电机A套过频保护跳闸,,digital
N1DCS.11CHA01EH111,23416,#2发电机A套相间后备跳闸,,digital
N1DCS.11CHA01EH112,23417,#2发电机A套误上电跳闸,,digital
N1DCS.11CHA01EH113,23418,#2发电机A套逆功率跳闸,,digital
N1DCS.11CHA01EH114,23419,#2发电机A套低功率跳闸,,digital
N1DCS.11CHA01EH115,23420,#2发电机A套启停机跳闸,,digital
N1DCS.11CHA01EH116,23421,#2发电机A套GCB失灵保护跳闸,,digital
N1DCS.11CHA01EH117,23422,#2发电机A套低频保护跳闸,,digital
N1DCS.11CHA01EH118,23423,#2发电机A套励磁后备保护跳闸,,digital
N1DCS.11CHA01EH119,23424,#2发电机A套逆功率报警,,digital
N1DCS.11CHA01EH120,23425,#2发电机A套过励磁报警,,digital
N1DCS.11CHA01EH121,23426,#2发电机A套定子过负荷报警,,digital
N1DCS.11CHA01EH122,23427,#2发电机A套负序过负荷报警,,digital
N1DCS.11CHA01EH123,23428,#2发电机A套励磁过负荷报警,,digital
N1DCS.11CHA01EH124,23429,#2发电机A套定子接地报警,,digital
N1DCS.11CHA01EH125,23430,#2发电机A套失磁报警,,digital
N1DCS.11CHA01EH126,23431,#2发电机A套失步报警,,digital
N1DCS.11CHA01EH127,23432,#2发电机A套频率保护报警,,digital
N1DCS.11CHA01EH128,23433,#2发电机A套保护TA回路断线,,digital
N1DCS.11CHA01EH129,23434,#2发电机A套保护TV回路断线,,digital
N1DCS.11CHA01EH130,23435,#2发电机A套保护装置闭锁,,digital
N1DCS.11CHA01EH131,23436,#2发电机A套保护装置报警,,digital
N1DCS.11CHA01EH132,23437,#2发电机A套SFC系统故障联跳,,digital
N1DCS.11CHA02EH101,23438,#2发电机B套差动跳闸,,digital
N1DCS.11CHA02EH102,23439,#2发电机B套匝间保护跳闸,,digital
N1DCS.11CHA02EH103,23440,#2发电机B套起停机接地保护跳闸,,digital
N1DCS.11CHA02EH104,23441,#2发电机B套对称过负荷保护跳闸,,digital
N1DCS.11CHA02EH105,23442,#2发电机B套负荷过负荷保护跳闸,,digital
N1DCS.11CHA02EH106,23443,#2发电机B套失磁保护跳闸,,digital
N1DCS.11CHA02EH107,23444,#2发电机B套失步保护跳闸,,digital
N1DCS.11CHA02EH108,23445,#2发电机B套电压异常跳闸,,digital
N1DCS.11CHA02EH109,23446,#2发电机B套过励磁保护跳闸,,digital
N1DCS.11CHA02EH110,23447,#2发电机B套逆功率保护跳闸,,digital
N1DCS.11CHA02EH111,23448,#2机B套机端开关失灵启动动作,,digital
N1DCS.11CHA02EH112,23449,#2机B套发电机相间后备保护跳,,digital
N1DCS.11CHA02EH113,23450,#2机B套发电机频率异常保护跳,,digital
N1DCS.11CHA02EH114,23451,#2发电机B套误上电保护跳闸,,digital
N1DCS.11CHA02EH115,23452,#2发电机B套励磁变保护跳闸,,digital
N1DCS.11CHA02EH116,23453,#2机B套燃机控制系统保护联跳,,digital
N1DCS.11CHA02EH117,23454,#2发电机B套差流越限告警,,digital
N1DCS.11CHA02EH118,23455,#2发电机B套定时限过负荷告警,,digital
N1DCS.11CHA02EH119,23456,#2机B套三次谐波定子接地告警,,digital
N1DCS.11CHA02EH120,23457,#2发电机B套TA异常告警,,digital
N1DCS.11CHA02EH121,23458,#2发电机B套TV异常告警,,digital
N1DCS.11CHA02EH122,23459,#2发电机B套装置故障告警,,digital
N1DCS.11CHA02EH123,23460,#2发电机B套失电告警,,digital
N1DCS.11CHA02EH124,23461,#2发电机B套SFC系统故障联跳,,digital
N1DCS.11CHA03EH101,23462,#2主变A套差动跳闸,,digital
N1DCS.11CHA03EH102,23463,#2主变A套相间后备跳闸,,digital
N1DCS.11CHA03EH103,23464,#2主变A套接地零序跳闸,,digital
N1DCS.11CHA03EH104,23465,#2主变A套间隙零序跳闸,,digital
N1DCS.11CHA03EH105,23466,#2主变A套过励磁保护跳闸,,digital
N1DCS.11CHA03EH106,23467,#2主变A套开关断口闪络保护跳,,digital
N1DCS.11CHA03EH107,23468,#2主变A套非全相跳闸,,digital
N1DCS.11CHA03EH108,23469,#1高厂变A套差动跳闸,,digital
N1DCS.11CHA03EH109,23470,#1高厂变A套高压侧后备跳闸,,digital
N1DCS.11CHA03EH110,23471,#1高厂变A套A分支后备跳闸,,digital
N1DCS.11CHA03EH111,23472,#1高厂变A套A分支接地后备跳闸,,digital
N1DCS.11CHA03EH112,23473,#1高厂变A套B分支后备跳闸,,digital
N1DCS.11CHA03EH113,23474,#1高厂变A套B分支接地后备跳闸,,digital
N1DCS.11CHA03EH114,23475,#2主变A套保护装置闭锁,,digital
N1DCS.11CHA03EH115,23476,#2主变A套保护装置报警,,digital
N1DCS.11CHA03EH116,23477,#2主变A套保护TA断线,,digital
N1DCS.11CHA03EH117,23478,#2主变A套保护TV断线,,digital
N1DCS.11CHA03EH118,23479,#2主变A套保护失灵启动报警,,digital
N1DCS.11CHA03EH119,23480,#2主变A套过激磁报警,,digital
N1DCS.11CHA03EH120,23481,#2主变A套过负荷报警,,digital
N1DCS.11CHA03EH121,23482,#1高厂变A套过负荷报警,,digital
N1DCS.11CHA03EH122,23483,#2主变A套低压侧零序电压报警,,digital
N1DCS.11CHA03EH123,23484,#2主变A套保护切换继电器动作,,digital
N1DCS.11CHA03EH124,23485,#2主变A套保护切换继电器失电,,digital
N1DCS.11CHA04EH101,23486,#2主变B套差动跳闸,,digital
N1DCS.11CHA04EH102,23487,#2主变B套相间后备跳闸,,digital
N1DCS.11CHA04EH103,23488,#2主变B套接地后备跳闸,,digital
N1DCS.11CHA04EH104,23489,#2主变B套间隙后备跳闸,,digital
N1DCS.11CHA04EH105,23490,#2主变B套高压侧失灵启动动,,digital
N1DCS.11CHA04EH106,23491,#2主变B套高压侧非全相动作,,digital
N1DCS.11CHA04EH107,23492,#2主变B套高压侧断口闪络动,,digital
N1DCS.11CHA04EH108,23493,#2主变B套过励磁动作,,digital
N1DCS.11CHA04EH109,23494,#1高厂变B套主保护动作,,digital
N1DCS.11CHA04EH110,23495,#1高厂变B套后备保护动作,,digital
N1DCS.11CHA04EH111,23496,#1高厂变B套A分支后备动作,,digital
N1DCS.11CHA04EH112,23497,#1高厂变B套B分支后备动作,,digital
N1DCS.11CHA04EH113,23498,#1高厂变B套低压侧接地动作,,digital
N1DCS.11CHA04EH114,23499,#2机B套差流越限告警,,digital
N1DCS.11CHA04EH115,23500,#2机B套定时限过负荷报警,,digital
N1DCS.11CHA04EH117,23501,#2机B套启动厂变通风告警,,digital
N1DCS.11CHA04EH118,23502,#2机B套TA异常告警,,digital
N1DCS.11CHA04EH119,23503,#2机B套TV异常告警,,digital
N1DCS.11CHA04EH120,23504,#2主变B套低压侧接地告警,,digital
N1DCS.11CHA04EH121,23505,#2机B套装置故障告警,,digital
N1DCS.11CHA04EH122,23506,#2机B套失电告警,,digital
N1DCS.11CHA04EH123,23507,#2主变B套保护切换继电器动作,,digital
N1DCS.11CHA04EH124,23508,#2主变B套保护切换继电器失电,,digital
N1DCS.11CHA05EH101,23509,#2主变保护装置闭锁,,digital
N1DCS.11CHA05EH102,23510,#2主变保护装置报警,,digital
N1DCS.11CHA05EH103,23511,#2主变非电量电源监视,,digital
N1DCS.11CHA05EH104,23512,#2主变冷控失电延时跳闸,,digital
N1DCS.11CHA05EH105,23513,#2主变本体重瓦斯跳闸,,digital
N1DCS.11CHA05EH106,23514,#2主变绕组温度高跳闸,,digital
N1DCS.11CHA05EH107,23515,#2主变压力突变跳闸,,digital
N1DCS.11CHA05EH108,23516,#2主变油温高跳闸,,digital
N1DCS.11CHA05EH109,23517,#2机母差及失灵联跳,,digital
N1DCS.11CHA05EH110,23518,#2机安稳切机跳闸,,digital
N1DCS.11CHA05EH111,23519,#2机转子一点接地保护跳闸,,digital
N1DCS.11CHA05EH112,23520,#2主变本体轻瓦斯信号,,digital
N1DCS.11CHA05EH113,23521,#2主变绕组温度高信号,,digital
N1DCS.11CHA05EH114,23522,#2主变油位异常信号,,digital
N1DCS.11CHA05EH115,23523,#2主变压力释放信号,,digital
N1DCS.11CHA05EH128,23524,#2发变组非电量保护控制回路断线,,digital
N1DCS.11CHA05EH129,23525,#2发变组非电量保护控制回路断线,,digital
N1DCS.11CHA05EH130,23526,#2发变组非电量保护第一出口跳闸,,digital
N1DCS.11CHA05EH131,23527,#2发变组非电量保护第二出口跳闸,,digital
N1DCS.11CHA05EH132,23528,#2主变断路器位置不一致,,digital
N1DCS.11CHA05EH133,23529,#2机失步解列跳闸,,digital
N1DCS.10CBQ01EH213A,23530,6KV IB段快切装置切换启允许,,digital
